x,y,z
0.220000,0.900000,0.816964
0.220000,0.920000,0.812740
0.220000,0.940000,0.808109
0.220000,0.960000,0.803060
0.220000,0.980000,0.797580
0.240000,0.000000,0.495720
0.240000,0.020000,0.522057
0.240000,0.040000,0.547196
0.240000,0.060000,0.571098
0.240000,0.080000,0.593741
0.240000,0.100000,0.615116
0.240000,0.120000,0.635226
0.240000,0.140000,0.654087
0.240000,0.160000,0.671723
0.240000,0.180000,0.688167
0.240000,0.200000,0.703458
0.240000,0.220000,0.717639
0.240000,0.240000,0.730757
0.240000,0.260000,0.742863
0.240000,0.280000,0.754006
0.240000,0.300000,0.764236
0.240000,0.320000,0.773604
0.240000,0.340000,0.782158
0.240000,0.360000,0.789945
0.240000,0.380000,0.797010
0.240000,0.400000,0.803394
0.240000,0.420000,0.809137
0.240000,0.440000,0.814277
0.240000,0.460000,0.818847
0.240000,0.480000,0.822878
0.240000,0.500000,0.826398
0.240000,0.520000,0.829435
0.240000,0.540000,0.832009
0.240000,0.560000,0.834142
0.240000,0.580000,0.835852
0.240000,0.600000,0.837154
0.240000,0.620000,0.838061
0.240000,0.640000,0.838585
0.240000,0.660000,0.838735
0.240000,0.680000,0.838517
0.240000,0.700000,0.837938
0.240000,0.720000,0.836999
0.240000,0.740000,0.835703
0.240000,0.760000,0.834049
0.240000,0.780000,0.832037
0.240000,0.800000,0.829662
0.240000,0.820000,0.826921
0.240000,0.840000,0.823808
0.240000,0.860000,0.820314
0.240000,0.880000,0.816432
0.240000,0.900000,0.812152
0.240000,0.920000,0.807464
0.240000,0.940000,0.802355
0.240000,0.960000,0.796813
0.240000,0.980000,0.790825
0.260000,0.000000,0.526271
0.260000,0.020000,0.551134
0.260000,0.040000,0.574771
0.260000,0.060000,0.597158
0.260000,0.080000,0.618287
0.260000,0.100000,0.638164
0.260000,0.120000,0.656803
0.260000,0.140000,0.674230
0.260000,0.160000,0.690477
0.260000,0.180000,0.705583
0.260000,0.200000,0.719591
0.260000,0.220000,0.732548
0.260000,0.240000,0.744503
0.260000,0.260000,0.755506
0.260000,0.280000,0.765606
0.260000,0.300000,0.774853
0.260000,0.320000,0.783294
0.260000,0.340000,0.790977
0.260000,0.360000,0.797944
0.260000,0.380000,0.804237
